"Metabolite","Display_name","Degree","Strength","Betweenness","Component","Community","Isolate","Hub_label"
"Arachidonate","Arachidonate",3,0.660635473335441,0.005085682697623,1,7,FALSE,""
"Docosahexaenoate","Docosahexaenoate",3,0.705355769868649,0.00630182421227197,1,8,FALSE,""
"Eicosapentaenoate","Eicosapentaenoate",5,1.10744119371187,0.0151464897733554,1,5,FALSE,""
"Myristate","Myristate",8,1.76478737518577,0.0111663902708679,1,9,FALSE,""
"Palmitoleate","Palmitoleate",3,0.714380118080518,0.00386954118297402,1,3,FALSE,""
"Carnitine","Carnitine",3,0.704734249875061,0.00796019900497512,1,8,FALSE,""
"Acetylcarnitine","Acetylcarnitine",5,1.12088277749857,0.0123825317855169,1,2,FALSE,""
"Propionylcarnitine","Propionylcarnitine",3,0.732611467660956,0.00486456605859591,1,7,FALSE,""
"Cholate","Cholate",7,1.79518884641831,0.0310668877833057,1,9,FALSE,""
"Deoxycholate","Deoxycholate",7,1.7243282109165,0.0307352128247651,1,6,FALSE,""
"Glycocholate","Glycocholate",6,1.39276453541898,0.0174682144831399,1,2,FALSE,""
"Taurocholate","Taurocholate",2,0.428234154281,0.00232172470978441,1,1,FALSE,""
"Adenosine","Adenosine",5,1.12787912112753,0.0133775566611388,1,10,FALSE,""
"Guanosine","Guanosine",4,1.00562212285569,0.0177998894416805,1,8,FALSE,""
"Uridine","Uridine",9,2.09682630461216,0.0545052515201769,1,2,FALSE,"Uridine"
"Cytidine","Cytidine",6,1.34974396760233,0.0211166390270868,1,2,FALSE,""
"Hypoxanthine","Hypoxanthine",4,1.12562423691588,0.0306246545052515,1,4,FALSE,""
"Xanthosine","Xanthosine",0,0,0,2,0,TRUE,""
"Uric_acid","Uric acid",4,0.968635074477341,0.00995024875621891,1,1,FALSE,""
"Allantoin","Allantoin",7,1.66736373648969,0.0393587617468215,1,4,FALSE,""
"Nicotinamide","Nicotinamide",7,1.6282632316572,0.0315091210613599,1,1,FALSE,""
"Pantothenate","Pantothenate",6,1.29231627473507,0.00972913211719182,1,10,FALSE,""
"Riboflavin","Riboflavin",3,0.652404169201136,0.00176893311221669,1,2,FALSE,""
"Pyridoxal","Pyridoxal",2,0.488247607305936,0.00375898286346048,1,1,FALSE,""
"Thiamine","Thiamine",3,0.671925476403573,0.00099502487562189,1,3,FALSE,""
"Ascorbate","Ascorbate",2,0.49330084326106,0.00121614151464898,1,2,FALSE,""
"Alpha_tocopherol","Alpha tocopherol",7,1.62788987065617,0.0213377556661139,1,3,FALSE,""
"Gamma_glutamylalanine","Gamma glutamylalanine",7,1.69924398044479,0.03681592039801,1,4,FALSE,""
"Gamma_glutamylglutamate","Gamma glutamylglutamate",6,1.41620176107958,0.0197899391929243,1,7,FALSE,""
"Cysteinylglycine","Cysteinylglycine",4,0.896850087943178,0.00995024875621891,1,8,FALSE,""
"Caffeine","Caffeine",3,0.695138974181829,0.00464344941956882,1,1,FALSE,""
"Paraxanthine","Paraxanthine",8,2.0594277960801,0.0455500276395799,1,3,FALSE,"Paraxanthine"
"Theobromine","Theobromine",7,1.5455918265393,0.019126589275843,1,4,FALSE,""
"Hippurate","Hippurate",6,1.29143920657246,0.0177998894416805,1,4,FALSE,""
"Salicylate","Salicylate",6,1.32242104530694,0.0139303482587065,1,7,FALSE,""
"Citrate","Citrate",6,1.32706691953615,0.0102819237147595,1,7,FALSE,""
"Succinate","Succinate",5,1.13773512651317,0.0109452736318408,1,3,FALSE,""
"Fumarate","Fumarate",7,1.60058227266827,0.026644555002764,1,4,FALSE,""
"Alpha_ketoglutarate","Alpha ketoglutarate",4,0.831110090862168,0.00950801547816473,1,1,FALSE,""
